product_type,material,avg_pct
"Ladies_shoes_loafers","polyurethane",32.46
"Ladies_shoes_loafers","thermoplastic rubber",28.68
"Ladies_shoes_loafers","polyester",20.06
"Ladies_shorts_highwaisted","cotton",30.64
"Ladies_shorts_highwaisted","polyester",22.96
"Ladies_shorts_highwaisted","linen",11.24
"Ladies_skirts_a-line","polyester",39.40
"Ladies_skirts_a-line","recycled polyester",20.83
"Ladies_skirts_a-line","cotton",19.34
"Ladies_skirts_denim","cotton",67.02
"Ladies_skirts_denim","polyester",14.14
"Ladies_skirts_denim","recycled cotton",11.08
"Ladies_skirts_highwaisted","polyester",33.01
"Ladies_skirts_highwaisted","recycled polyester",18.19
"Ladies_skirts_highwaisted","polyamide",7.86
"MEN_TSHIRTSTANKS_POLO","cotton",53.05
"MEN_TSHIRTSTANKS_POLO","polyester",10.32
"MEN_TSHIRTSTANKS_POLO","recycled polyester",7.47
"beauty_haircare_accessories","silk",100.00
"beauty_makeup_eyes_eyeliner","polypropylene",0.40
"beauty_makeup_makeupbrusherstools_makeupbrushes","polypropylene",18.94
"beauty_makeup_makeupbrusherstools_makeupbrushes","polyurethane",3.59
"beauty_makeup_makeupbrusherstools_makeuptools","polyester",37.50
"beauty_makeup_makeupbrusherstools_makeuptools","polypropylene",7.50
"beauty_makeup_makeupbrusherstools_spongesapplicators","polyurethane",100.00
"beauty_makeupbagscases","polyester",46.79
"beauty_makeupbagscases","thermoplastic polyurethane",25.50
"beauty_makeupbagscases","recycled polyester",16.74
"beauty_nails_fakenailsaccessories","ethylene vinyl acetate",6.96
"beauty_nails_fakenailsaccessories","acrylic",3.38
"beauty_nails_fakenailsaccessories","polypropylene",0.21
"beauty_nails_nailcare","ethylene vinyl acetate",15.00
"beauty_nails_nailcare","polypropylene",7.50
"home_bathshower_accessories_bathroomaccessories","rubber",15.00
"home_bedlinen_duvetscoversets","cotton",100.00
"home_homewear","cotton",78.95
"home_homewear","recycled polyester",10.53
"home_homewear","polyester",7.52
"home_outdoor_beachtowelsandbags","cotton",100.00
"kids_boys_clothing_takecare","recycled polyester",20.00
"kids_boys_clothing_takecare","polyester",20.00
"kids_boys_clothing_takecare","polypropylene",16.00
"ladies_accessories","polyester",51.52
"ladies_accessories","recycled polyester",18.41
"ladies_accessories","ethylene vinyl acetate",12.84
"ladies_accessories_bags","polyester",67.21
"ladies_accessories_bags","recycled polyester",16.61
"ladies_accessories_bags","polyurethane",16.18
"ladies_accessories_bags_backpack","polyester",84.75
"ladies_accessories_bags_backpack","recycled polyester",15.25
"ladies_accessories_bags_beachbags","polyester",50.00
"ladies_accessories_bags_crossbodybags","polyester",61.78
"ladies_accessories_bags_crossbodybags","polyurethane",24.15
"ladies_accessories_bags_crossbodybags","recycled polyester",9.25
"ladies_accessories_bags_handbags","polyester",56.65
"ladies_accessories_bags_handbags","polyurethane",28.90
"ladies_accessories_bags_handbags","recycled polyester",13.29
"ladies_accessories_bags_phonebags","leather",50.00
"ladies_accessories_bags_phonebags","polyester",29.17
"ladies_accessories_bags_phonebags","polyurethane",14.58
"ladies_accessories_bags_shoppertotes","polyester",56.80
"ladies_accessories_bags_shoppertotes","polyurethane",24.72
"ladies_accessories_bags_shoppertotes","thermoplastic polyurethane",5.56
"ladies_accessories_bags_shoulderbags","polyester",62.76
"ladies_accessories_bags_shoulderbags","polyurethane",22.76
"ladies_accessories_bags_shoulderbags","cotton",7.26
"ladies_accessories_belts","polyester",50.00
"ladies_accessories_belts","polyurethane",50.00
"ladies_accessories_gloves","acrylic",42.91
"ladies_accessories_gloves","polyester",42.13
"ladies_accessories_gloves","recycled polyester",6.58
"ladies_accessories_hairaccessories","polyester",33.91
"ladies_accessories_hairaccessories","recycled polyester",18.66
"ladies_accessories_hairaccessories","cotton",7.19
"ladies_accessories_hats","polyester",81.04
"ladies_accessories_hats","acrylic",7.62
"ladies_accessories_hats","recycled polyester",5.68
"ladies_accessories_hats_beanies","polyester",37.37
"ladies_accessories_hats_beanies","recycled polyester",19.96
"ladies_accessories_hats_beanies","acrylic",13.55
"ladies_accessories_hats_buckethats","cotton",80.00
"ladies_accessories_hats_buckethats","polyester",14.67
"ladies_accessories_hats_buckethats","recycled polyester",3.33
"ladies_accessories_hats_caps","cotton",59.62
"ladies_accessories_hats_caps","polyester",21.29
"ladies_accessories_hats_caps","recycled polyester",8.09
"ladies_accessories_hats_hats","wool",50.00
"ladies_accessories_hats_hats","polypropylene",50.00
"ladies_accessories_jewellery","polyester",82.05
"ladies_accessories_jewellery","polyurethane",16.03
"ladies_accessories_jewellery","recycled polyester",1.92
"ladies_accessories_jewellery_necklaces","polyester",4.93
"ladies_accessories_jewellery_necklaces","recycled polyester",4.43
