material,products_count,occurrences,avg_pct,avg_factor,avg_contribution
coated leather,3,3,77.77777777777777,25.0,19.444444444444443
leather,61,102,53.8235294117647,25.0,13.455882352941176
regenerated leather,3,7,42.857142857142854,25.0,10.714285714285714
silk,28,32,52.19436002974817,10.0,5.219436002974817
acrylic,592,753,31.194946887890953,14.0,4.367292564304729
polyester,4584,5767,44.62977666582938,9.5,4.239828783253815
cotton,3303,4028,64.34910461410996,5.599999999999788,3.603549858390151
modacrylic,9,9,23.153340256143995,14.0,3.2414676358601593
wool,614,796,13.989282174184874,23.0,3.2175349000625157
polyurethane,314,473,39.14574269340873,8.0,3.131659415472697
polyamide,1506,1877,33.200736946593665,8.0,2.6560589557274876
in-conversion cotton,10,12,44.74401924150667,5.6000000000000005,2.5056650775243745
recycled wool,93,124,10.263527062121966,23.0,2.360611224288052
ethylene vinyl acetate,56,82,34.24895025727465,6.0,2.054937015436479
recycled polyamide,251,307,23.801447875296677,8.0,1.904115830023734
thermoplastic rubber,145,228,28.194796527163415,6.0,1.6916877916298056
rubber,42,51,27.415251346986295,6.0,1.6449150808191788
thermoplastic polyurethane,78,138,18.619335835681703,8.0,1.4895468668545346
natural rubber,6,8,22.88100573744,6.0,1.3728603442463994
linen,231,297,40.22869728062803,3.0,1.2068609184188406
modal,41,45,45.22181889676982,2.25,1.0174909251773208
polypropylene,48,68,24.66209351488927,4.0,0.9864837405955711
recycled polyester from textiles,681,849,9.94218831616143,9.5,0.9445078900353359
polyurethanelp,2,2,10.615760679781166,8.0,0.8492608543824933
lyocell,93,117,37.05112279645494,2.25,0.8336502629202363
organic cotton,108,143,37.88845618106658,2.1,0.7956575798023999
recycled thermoplastic polyurethane,14,28,9.877094268406223,8.0,0.7901675414724976
recycled polyester,3668,4577,26.311516516527476,3.0,0.7893454954958288
recycled thermoplastic rubber,89,127,11.451569138968813,6.0,0.6870941483381283
recycled linen,1,1,21.875,3.0,0.65625
elastane,3124,3891,5.047231435091446,10.0,0.5047231435091437
recycled cotton,1085,1327,12.813316967579238,2.5,0.3203329241894819
viscose,225,284,7.6897759925102935,3.0,0.23069327977530918
recycled rubber,26,26,5.604113848298704,3.5,0.1961439846904547
